"POLICY_Name","POLICY_Link","POLICY_url","POLICY_YearPublish","POLICY_Type","POLICY_Description","STATE_Abbr","POLICY_Sector","STATE_Name","POLICY_abbr"
"Appliance Standard for Portable Electric Spas","","","2009","","Standards equivalent to California maximum limit on standby power consumption based on the volume of water a spa holds.","AZ","Industry","Arizona","hover_industry"
"Appliance Standard for Portable Electric Spas","","","2009","","Standards equivalent to California maximum limit on standby power consumption based on the volume of water a spa holds.","WA","Industry","Washington","hover_industry"
"Appliance Standard for Toilets","","","2009","","Toilet efficiency standards require products to use no more than 1.28 gpf.","TX","Industry","Texas","hover_industry"
"Appliance Standard for Urinals","","","2009","","Criteria for flushing urinals set at no more than 0.5 gpf.","TX","Industry","Texas","hover_industry"
"Appliance Standard for Toilets","","","2010","","Toilet efficiency standards require products to use no more than 1.28 gpf.","GA","Industry","Georgia","hover_industry"
"Appliance Standard for Compact Audio Equipment","","","2011","","By January 1, 2014, compact audio players, digital versatile disc players and digital versatile disc recorders shall meet the requirements shown in Table V-1 of Section 1605.3 of the November 2009 amendments to the California Code of Regulations, Title 20, Division 2, Chapter 4, Article 4, unless the commissioner, in accordance with subparagraph (B) of subdivision (3) of this subsection, determines that such standards are unwarranted and may accept, reject or modify according to subparagraph (A) of subdivision (3) of this subsection.","CT","Industry","Connecticut","hover_industry"
"Appliance Standard for DVD Players and Recorders","","","2011","","By January 1, 2014, compact audio players, digital versatile disc players and digital versatile disc recorders shall meet the requirements shown in Table V-1 of Section 1605.3 of the November 2009 amendments to the California Code of Regulations, Title 20, Division 2, Chapter 4, Article 4, unless the commissioner, in accordance with subparagraph (B) of subdivision (3) of this subsection, determines that such standards are unwarranted and may accept, reject or modify according to subparagraph (A) of subdivision (3) of this subsection.","CT","Industry","Connecticut","hover_industry"
"Appliance Standard for Televisions","","","2011","","On or after January 1, 2014, televisions manufactured on or after July 1, 2011, shall meet the requirements shown in Table V-2 of Section 1605.3 of the November 2009 amendments to the California Code of Regulations, Title 20, Division 2, Chapter 4, Article 4, unless the commissioner, in accordance with subparagraph (B) of subdivision (3) of this subsection, determines that such standards are unwarranted and may accept, reject or modify according to subparagraph (A) of subdivision (3) of this subsection; and in addition to the requirements of subparagraph (Q) of this subdivision, televisions manufactured on or after January 1, 2014, shall meet the efficiency requirements of Sections 1605.3(v)(3)(A), 1605.3(v)(3)(B) and 1605.3(v)(3)(C) of the November 2009 amendments to the California Code of Regulations, Title 20, Division 2, Chapter 4, Article 4, unless the commissioner, in accordance with subparagraph (B) of subdivision (3) of this subsection, determines that such standards are unwarranted and may accept, reject or modify according to subparagraph (A) of subdivision (3) of this subsection.","CT","Industry","Connecticut","hover_industry"
"Appliance Standard for Battery Chargers","","","2013","","DOE standards took effect in 2018, preempting California and Oregon standards for residential chargers but not for commercial chargers.","OR","Industry","Oregon","hover_industry"
"Appliance Standard for High Light Output Double-Ended Quartz Halogen Lamps","","","2013","","Lamps with a minimum rated initial lumen value greater than 6,000 and a maximum initial lumen value of 15,000 must have a minimum efficiency of 27 lumens per watt. Lamps with a rated initial lumen value greater than 15,000 and less than 40,000 must have a minimum efficiency of 34 lumens per watt.","OR","Industry","Oregon","hover_industry"
"Appliance Standard for Showerheads","","","2014","","Maximum flow rate of 2.0 gpm (gallons per minute).","CO","Industry","Colorado","hover_industry"
"Appliance Standard for Toilets","","","2014","","Toilet efficiency standards require products to use no more than 1.28 gpf.","CO","Industry","Colorado","hover_industry"
"Appliance Standard for Urinals","","","2014","","Criteria for flushing urinals set at no more than 0.5 gpf.","CO","Industry","Colorado","hover_industry"
"Appliance Standard for General Service Lamps","","","2017","","Minimum efficacy standard for general service lamps of 45 lumens per watt, when tested in accordance with 10 C.F.R. § 430.23(gg) as that provision existed on January 19, 2017.","VT","Industry","Vermont","hover_industry"
"Appliance Standard for Commercial Dishwashers","","","2018","","Adopted the first state standards based on ENERGY STAR Version 2.0.","VT","Industry","Vermont","hover_industry"
"Appliance Standard for Commercial Fryers","","","2018","","ENERGY STAR Version 3.0 standards.","VT","Industry","Vermont","hover_industry"
"Appliance Standard for Commercial Steam Cookers","","","2018","","Adopted state standards for commercial steam cookers based on ENERGY STAR Version 1.2.","VT","Industry","Vermont","hover_industry"
"Appliance Standard for Compressors","","","2018","","Adopted the final DOE standards as state standards with a compliance date of January 1, 2022.","VT","Industry","Vermont","hover_industry"
"Appliance Standard for Computers and Computer Systems","","","2018","","Effective July 1, 2020, computers and computer monitors as defined in 20 California Code of Regulations (CCR) § 1602 shall meet the requirements of20 California Code of Regulations (CCR) § 1605.3(v). ""20 California Code of Regulations § 1605.3(v)"" is the section of the CCR that contains the California state mandatory minimum energy efficiency requirements for computers and computer monitors. It was developed by the California Energy Commission and includes several different tiers of energy efficiency requirements for desktop computers, laptop computers and computer monitors.","VT","Industry","Vermont","hover_industry"
"Appliance Standard for Faucets","","","2018","","Standards similar to California’s in 2018 except for standard for lavatory faucets which must not exceed a flow rate of 1.5 gpm.","VT","Industry","Vermont","hover_industry"
"Appliance Standard for High-CRI Linear Fluorescent Lamps","","","2018","","Requires linear fluorescent lamps with CRI of 87 or higher to meet the same efficiency requirements as normal CRI linear fluorescent lamps.","VT","Industry","Vermont","hover_industry"
"Appliance Standard for Hot Food Holding Cabinets","","","2018","","Effective July 1, 2020, commercial hot-food holding cabinets shall have a maximum idle energy rate of 40 watts per cubic foot of interior volume, as determined by the ""idle energy rate-dry test"" in ASTM F2140-11, ""Standard Test Method for Performance of Hot-Food Holding Cabinets,"" ASTM International (2011). Interior volume shall be measured as prescribed in the ""ENERGY STAR Program Requirements Product Specification for Commercial Hot-Food Holding Cabinets,"" Version 2.0, developed by the U.S. Environmental Protection Agency, which took effect October 1, 2011.","VT","Industry","Vermont","hover_industry"
"Appliance Standard for Lawn Spray Sprinklers","","","2018","","Adopted state standards based on the WaterSense specification.","VT","Industry","Vermont","hover_industry"
"Appliance Standard for Portable Air Conditioners","","","2018","","Adopted the final national standards as state standards.","VT","Industry","Vermont","hover_industry"
"Appliance Standard for Portable Electric Spas","","","2018","","2014 ANSI standard sets a more stringent limit on allowable standby power consumption.","VT","Industry","Vermont","hover_industry"
"Appliance Standard for Residential Ventilating Fans","","","2018","","State standards for ventilation fans based on ENERGY STAR Version 4.1","VT","Industry","Vermont","hover_industry"
"Appliance Standard for Showerheads","","","2018","","Maximum flow rate of 2.0 gpm (gallons per minute).","VT","Industry","Vermont","hover_industry"
"Appliance Standard for Uninterruptible Power Supplies","","","2018","","Adopted state standards for UPS equivalent to the standards in the DOE final rule.","VT","Industry","Vermont","hover_industry"
"Appliance Standard for Urinals","","","2018","","Criteria for flushing urinals set at no more than 0.5 gpf.","VT","Industry","Vermont","hover_industry"
"Appliance Standard for Water Dispensers","","","2018","","Maximum standby energy use is 0.87 kWh/day for “hot and cold” storage units and 0.18 kWh/day for on demand hot and cold units.","VT","Industry","Vermont","hover_industry"
"Appliance Standard for Commercial Dishwashers","","","2019","","Adopted state standards based on ENERGY STAR Version 2.0.","CO","Industry","Colorado","hover_industry"
"Appliance Standard for Commercial Dishwashers","","","2019","","Adopted state standards based on ENERGY STAR Version 2.0.","WA","Industry","Washington","hover_industry"
"Appliance Standard for Commercial Fryers","","","2019","","ENERGY STAR Version 3.0 standards.","CO","Industry","Colorado","hover_industry"
"Appliance Standard for Commercial Fryers","","","2019","","ENERGY STAR Version 3.0 standards.","WA","Industry","Washington","hover_industry"
"Appliance Standard for Commercial Steam Cookers","","","2019","","Commercial steam cookers must meet the requirements of the Energy Star Program Requirements Product Specification for Commercial Steam Cookers, Version 1.2.","CO","Industry","Colorado","hover_industry"
"Appliance Standard for Commercial Steam Cookers","","","2019","","Commercial steam cookers must meet the requirements of the environmental protection agency energy star program product specification for commercial steam cookers, version 1.2.","WA","Industry","Washington","hover_industry"
"Appliance Standard for Compressors","","","2019","","Adopted the final DOE standards as state standards with a compliance date of January 1, 2022.","CO","Industry","Colorado","hover_industry"
"Appliance Standard for Compressors","","","2019","","Adopted the final DOE standards as state standards with a compliance date of January 1, 2022.","WA","Industry","Washington","hover_industry"
"Appliance Standard for Computers and Computer Systems","","","2019","","Computers and Computer Monitors must meet the requirements of Section 1605.3 (v) of Title 20 of the CCR, and compliance with those requirements must be as measured in accordance with test methods prescribed in Section 1604 (v) of those regulations.","CO","Industry","Colorado","hover_industry"
"Appliance Standard for Computers and Computer Systems","","","2019","","Computers and computer monitors must meet the requirements in the California Code of Regulations, Title 20, section 1605.3(v) as adopted on May 10, 2017, and amended on November 8, 2017, as measured in accordance with test methods prescribed in section 1604(v) of those regulations.","WA","Industry","Washington","hover_industry"
"Appliance Standard for Computers and Computer Systems","","","2019","","Computers and computer monitors shall meet the requirements set forth in California Code of Regulations, Title 20, Section 1605.3, as amended.","HI","Industry","Hawaii","hover_industry"
"Appliance Standard for Faucets","","","2019","","California standards for kitchen faucets and WaterSense standards for public lavatory faucets.","CO","Industry","Colorado","hover_industry"
"Appliance Standard for Faucets","","","2019","","Maximum flow rate for kitchen faucets and aerators is 1.8 gallons per minute (gpm) with optional temporary flow of 2.2 gpm at 60 pounds per square inch (psi). Maximum flow rate for private lavatory faucets is 1.2 gpm and maximum flow rate for public lavatory faucets is 0.5 gpm.","HI","Industry","Hawaii","hover_industry"
"Appliance Standard for Faucets","","","2019","","Lavatory faucet standards are at the 1.5 gpm and 0.5 gpm level for private and public lavatory faucets, respectively.","NY","Industry","New York","hover_industry"
"Appliance Standard for Faucets","","","2019","","Maximum flow rate for kitchen faucets and aerators is 1.8 gallons per minute (gpm) with optional temporary flow of 2.2 gpm at 60 pounds per square inch (psi). Maximum flow rate for private lavatory faucets is 1.2 gpm and maximum flow rate for public lavatory faucets is 0.5 gpm.","WA","Industry","Washington","hover_industry"
"Appliance Standard for High-CRI Linear Fluorescent Lamps","","","2019","","Requires linear fluorescent lamps with CRI of 87 or higher to meet the same efficiency requirements as normal CRI linear fluorescent lamps.","CO","Industry","Colorado","hover_industry"
"Appliance Standard for High-CRI Linear Fluorescent Lamps","","","2019","","Requires linear fluorescent lamps with CRI of 87 or higher to meet the same efficiency requirements as normal CRI linear fluorescent lamps.","WA","Industry","Washington","hover_industry"
"Appliance Standard for High-CRI Linear Fluorescent Lamps","","","2019","","High color rendering index fluorescent lamps shall meet the minimum efficacy requirements contained in Section 430.32(n) (4) of Title 10 of the Code of Federal Regulations as in effect on January 3, 2017, as amended.","HI","Industry","Hawaii","hover_industry"
"Appliance Standard for Hot Food Holding Cabinets","","","2019","","Commercial hot food holding cabinets must have a maximum idle energy rate of forty watts per cubic foot of interior volume, as determined by the ""Idle Energy Rate-dry Test"" in ASTM Standard F2140-11, ""Test Method for the Performance of Hot Food Holding Cabinets"", published by ASTM International, formerly known as the American Society for Testing and Materials. Interior volume must be measured as prescribed in the Energy Star Program Requirements Product Specification for Commercial Hot Food Holding Cabinets, Version 2.0.","CO","Industry","Colorado","hover_industry"
"Appliance Standard for Lawn Spray Sprinklers","","","2019","","Spray sprinkler bodies that are not specifically excluded from the scope of the WaterSense Specification for Spray Sprinkler Bodies, Version 1.0, must include an integral pressure regulator and must meet the water efficiency and performance criteria and other requirements of that specification.","CO","Industry","Colorado","hover_industry"
"Appliance Standard for Lawn Spray Sprinklers","","","2019","","Adopted state standards based on the WaterSense specification.","WA","Industry","Washington","hover_industry"
"Appliance Standard for Lawn Spray Sprinklers","","","2019","","Adopted state standards based on the WaterSense specification.","HI","Industry","Hawaii","hover_industry"
"Appliance Standard for Portable Air Conditioners","","","2019","","Adopted the final national standards as state standards.","CO","Industry","Colorado","hover_industry"
"Appliance Standard for Portable Air Conditioners","","","2019","","Adopted the final national standards as state standards.","WA","Industry","Washington","hover_industry"
"Appliance Standard for Portable Electric Spas","","","2019","","2014 ANSI standard sets a more stringent limit on allowable standby power consumption.","CO","Industry","Colorado","hover_industry"
"Appliance Standard for Residential Ventilating Fans","","","2019","","State standards for ventilation fans based on ENERGY STAR Version 4.1","CO","Industry","Colorado","hover_industry"
"Appliance Standard for Residential Ventilating Fans","","","2019","","State standards for ventilation fans based on ENERGY STAR Version 4.1","WA","Industry","Washington","hover_industry"
"Appliance Standard for Showerheads","","","2019","","Maximum flow rate of 1.8 gpm (gallons per minute).","WA","Industry","Washington","hover_industry"
"Appliance Standard for Showerheads","","","2019","","Maximum flow rate of 1.8 gpm (gallons per minute).","HI","Industry","Hawaii","hover_industry"
"Appliance Standard for Showerheads","","","2019","","Maximum flow rate of 2.0 gpm (gallons per minute).","NY","Industry","New York","hover_industry"
"Appliance Standard for Toilets","","","2019","","Toilet efficiency standards require products to use no more than 1.28 gpf.","WA","Industry","Washington","hover_industry"
"Appliance Standard for Toilets","","","2019","","Toilet efficiency standards require products to use no more than 1.28 gpf.","NY","Industry","New York","hover_industry"
"Appliance Standard for Uninterruptible Power Supplies","","","2019","","Adopted state standards for UPS equivalent to the standards in the DOE final rule.","CO","Industry","Colorado","hover_industry"
"Appliance Standard for Uninterruptible Power Supplies","","","2019","","Adopted state standards for UPS equivalent to the standards in the DOE final rule.","WA","Industry","Washington","hover_industry"
"Appliance Standard for Urinals","","","2019","","0.125 gpf for wall-mounted urinals; a formula for trough-type urinals (trough length in inches/16); and 0.5 gpf for all other urinals.","WA","Industry","Washington","hover_industry"
"Appliance Standard for Urinals","","","2019","","Criteria for flushing urinals set at no more than 0.5 gpf.","NY","Industry","New York","hover_industry"
"Appliance Standard for Water Dispensers","","","2019","","Maximum standby energy use is 0.87 kWh/day for “hot and cold” storage units and 0.18 kWh/day for on demand hot and cold units.","CO","Industry","Colorado","hover_industry"
"Appliance Standard for Water Dispensers","","","2019","","Maximum standby energy use is 0.87 kWh/day for “hot and cold” storage units and 0.18 kWh/day for on demand hot and cold units.","WA","Industry","Washington","hover_industry"
"Appliance Standard for General Service Lamps","","","2019","","Either: (a) is subject to federal preemption; or (b) meets or exceeds a lamp efficacy of forty-five lumens per watt, when tested in accordance with the applicable federal test procedures for general service lamps prescribed in 10 CFR 430.23 (gg), as in effect on January 3, 2017.","CO","Industry","Colorado","hover_industry"
"Appliance Standard for General Service Lamps","","","2019","","General service lamps must meet or exceed a lamp efficacy of 45 lumens per watt, when tested in accordance with the applicable federal test procedures for general service lamps prescribed in 10 C.F.R. Sec. 430.23 in effect as of January 3, 2017.","WA","Industry","Washington","hover_industry"
"Appliance Standard for General Service Lamps","","","2020","","In August 2020, the Director of the Governor’s Office of Energy adopted regulation R100-19 pursuant to NRS 701.260 as amended under AB 54 (2019). Regulation R100-19 sets a minimum standard of energy efficiency of 45 lumens per watt of electricity consumed that must be produced by General Service Lamps sold in Nevada on and after January 1, 2021.","NV","Industry","Nevada","hover_industry"
"Renewable Energy Standard (RES)","https://images.edocket.azcc.gov/docketpdf/0000063561.pdf","https://images.edocket.azcc.gov/docketpdf/0000063561.pdf","1996","","15% by 2025. The requirement steps up annually until that date. Thirty percent of the annual requirement in 2012 and thereafter must be distributed generation (4.5% of sales in 2025); half of this must be from residential installations and half from non-residential, non-utility installations.","AZ","Energy Supply","Arizona","hover_energy"
"Renewable Portfolio Standard (RPS)","https://www.cpuc.ca.gov/rps/","https://www.cpuc.ca.gov/rps/","2018","","2002 SB 1078 (20% by 2017), 2015 SB 350 (50% by 2030), 2018 SB 100 (60% by 2030).","CA","Energy Supply","California","hover_energy"
"Renewable Portfolio Standard (RPS)","14-1216.pdf (uscourts.gov)","https://www.ca10.uscourts.gov/opinions/14/14-1216.pdf","2004","","Investor-owned utilities: 30% by 2020; Electric cooperatives serving 100,000 or more meters: 20% by 2020; Electric cooperatives serving fewer than 100,000 meters: 10% by 2020; Municipal utilities serving more than 40,000 customers: 10% by 2020.","CO","Energy Supply","Colorado","hover_energy"
"Renewable Portfolio Standard (RPS)","2018PA-00050-R00SB-00009-PA.pdf (ct.gov)","https://www.cga.ct.gov/2018/act/pa/pdf/2018PA-00050-R00SB-00009-PA.pdf","1998","","48% by 2030","CT","Energy Supply","Connecticut","hover_energy"
"Renewable Portfolio Standard (RPS)","rpsact.pdf (delaware.gov)","https://depsc.delaware.gov/wp-content/uploads/sites/54/2017/03/rpsact.pdf","2005","","25% by 2025-2026","DE","Energy Supply","Delaware","hover_energy"
"Renewable Portfolio Standard (RPS)","HB623 CD1.DOC (hawaii.gov)","https://www.capitol.hawaii.gov/session2015/bills/HB623_CD1_.htm","2004","","2015 HB 623: 100% by 2045","HI","Energy Supply","Hawaii","hover_energy"
"Renewable Portfolio Standard (RPS)","Letter_Bill 1..503 (ilga.gov)","https://www.ilga.gov/legislation/99/SB/PDF/09900SB2814enr.pdf","2007","","25% by 2025-2026","IL","Energy Supply","Illinois","hover_energy"
"Renewable Portfolio Standard (RPS)","Be it enacted by the People of the State of Maine as follows:","http://legislature.maine.gov/bills/getPDF.asp?paper=HP0810&item=5&snum=128","1997","","80% by 2030","ME","Energy Supply","Maine","hover_energy"
"Renewable Portfolio Standard (RPS)","https://mgaleg.maryland.gov/mgawebsite/legislation/details/hb1158?ys=2019rs","https://mgaleg.maryland.gov/mgawebsite/legislation/details/hb1158?ys=2019rs","2004","","2019 Clean Energy Jobs Act (CEJA), SB 516: 50% by 2030; carves out 14.5% of the target for solar development and mandates 1.2 GW of offshore wind solicitations; expands solar energy requirements and more than doubles the state’s offshore wind target.","MD","Energy Supply","Maryland","hover_energy"
"Renewable Portfolio Standard (RPS)","225 CMR 15 (mass.gov)","https://www.mass.gov/doc/225-cmr-15-renewable-energy-portfolio-standard-rps-class-ii/download","1997","","41% by 2030","MA","Energy Supply","Massachusetts","hover_energy"
"Renewable Portfolio Standard (RPS)","2016-PA-0342.pdf (mi.gov)","https://www.legislature.mi.gov/documents/2015-2016/publicact/pdf/2016-PA-0342.pdf","2008","","15% by 2021","MI","Energy Supply","Michigan","hover_energy"
"Renewable Portfolio Standard (RPS)","Electronic Document (mo.gov)","https://www.efis.psc.mo.gov/mpsc/commoncomponents/view_itemno_details.asp?caseno=ET-2014-0059&attach_id=2014006810","2008","","15% by 2021","MO","Energy Supply","Missouri","hover_energy"
"Renewable Portfolio Standard (RPS)","Sec. 216B.1691 MN Statutes","https://www.revisor.mn.gov/statutes/cite/216b.1691","1994","","26% by 2025","MN","Energy Supply","Minnesota","hover_energy"
"Renewable Portfolio Standard (RPS)","Microsoft Word - SB358_EN.doc (state.nv.us)","https://www.leg.state.nv.us/75th2009/Bills/SB/SB358_EN.pdf","1997","","50% by 2030","NV","Energy Supply","Nevada","hover_energy"
"Renewable Portfolio Standard (RPS)","New Hampshire Statutes - Table of Contents (state.nh.us)","http://www.gencourt.state.nh.us/rsa/html/NHTOC/NHTOC-XXXIV-362-F.htm","2007","","25.2% by 2025","NH","Energy Supply","New Hampshire","hover_energy"
"Renewable Portfolio Standard (RPS)","3723_I1.PDF (state.nj.us)","https://www.njleg.state.nj.us/2018/Bills/A4000/3723_I1.PDF","1999","","50% by 2030","NJ","Energy Supply","New Jersey","hover_energy"
"Renewable Portfolio Standard (RPS)","SB0489 (nmlegis.gov)","https://www.nmlegis.gov/Sessions/19%20Regular/bills/senate/SB0489.pdf","2000","","80% by 2040","NM","Energy Supply","New Mexico","hover_energy"
"Renewable Portfolio Standard (RPS)","NY State Senate Bill S6599 (nysenate.gov)","https://www.nysenate.gov/legislation/bills/2019/s6599","2004","","70% by 2030; 100% by 2040.","NY","Energy Supply","New York","hover_energy"
"Renewable Portfolio Standard (RPS)","Microsoft Word - S3v6.doc (ncleg.net)","https://www.ncleg.net/Sessions/2007/Bills/Senate/PDF/S3v6.pdf","2007","","12% by 2021","NC","Energy Supply","North Carolina","hover_energy"
"Renewable Portfolio Standard (RPS)","Lawriter - OAC (ohio.gov)","http://codes.ohio.gov/oac/4901%3A1-40","2008","","12.5% by 2026. SB 310 of 2014 froze the multi-year renewable ramp-up schedule for 2 years, removed the in-state requirement for renewable energy procurement, and pushed back the final renewable benchmark of 12.5% from 2024 to 2026. HB 554 of 2016 would have extended the freeze for an additional two years, but was vetoed by the Governor. As of January 2017 Ohio's Alternative Energy Portfolio Standard is mandatory again.","OH","Energy Supply","Ohio","hover_energy"
"Renewable Portfolio Standard (RPS)","SB1547 (state.or.us)","https://olis.leg.state.or.us/liz/2016R1/Downloads/MeasureDocument/SB1547/Enrolled","2007","","50% by 2040","OR","Energy Supply","Oregon","hover_energy"
"Renewable Portfolio Standard (RPS)","Bill Information (History) - House Bill 118; Regular Session 2017-2018 - PA General Assembly (state.pa.us)","https://www.legis.state.pa.us/cfdocs/billinfo/bill_history.cfm?syear=2017&sind=0&body=H&type=B&bn=118","1998","","18% by 2020-2021","PA","Energy Supply","Pennsylvania","hover_energy"
"Renewable Portfolio Standard (RPS)","H7413A.pdf (state.ri.us)","http://webserver.rilin.state.ri.us/BillText/BillText16/HouseText16/H7413A.pdf","2004","","38.5% by 2035","RI","Energy Supply","Rhode Island","hover_energy"
"Renewable Portfolio Standard (RPS)","Public Service (vermont.gov)","https://legislature.vermont.gov/statutes/chapter/30/089","2015","","75% by 2032","VT","Energy Supply","Vermont","hover_energy"
"Renewable Portfolio Standard (RPS)","Initiative 937 (wa.gov)","http://www.secstate.wa.gov/elections/initiatives/text/i937.pdf","2006","","15% by 2020","WA","Energy Supply","Washington","hover_energy"
"Carbon Sink Act (AB 1504)","https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=200920100AB1504","https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=200920100AB1505","2009","Legislation","Ensure that California’s public and private forests store enough CO2 to meet the greenhouse-gas (GHG) emission-reduction goals mandated for the state’s forestry sector by A.B. 32, the historic California Global Warming Solutions Act of 2006.","CA","Natural and Working Lands, Agriculture, and Forestry","California","hover_natural"
"Draft 2030 Natural and Working Lands Climate Change Implementation Plan","https://ww2.arb.ca.gov/resources/documents/nwl-implementation-draft","https://ww2.arb.ca.gov/resources/documents/nwl-implementation-draft","2019","Announced Plan","Increase state-led conservation, restoration, and management activities two to five times above current levels.","CA","Natural and Working Lands, Agriculture, and Forestry","California","hover_natural"
"Forest Health Program","https://www.fire.ca.gov/grants/forest-health-grants/","https://www.fire.ca.gov/grants/forest-health-grants/","2015","Other","Funds active restoration and reforestation activities aimed at providing for more resilient and sustained forests.","CA","Natural and Working Lands, Agriculture, and Forestry","California","hover_natural"
"California Climate Investments","http://www.caclimateinvestments.ca.gov/","http://www.caclimateinvestments.ca.gov/","2015","Other","Preserved or restored over 500,000 acres of land and sprouted 50,000 urban trees since 2014. Contracted for over 3,200 units of affordable housing and installed 110,000 efficiency measures in homes statewide since 2014.","CA","Building; Natural and Working Lands, Agriculture, and Forestry","California","hover_natural"
"SB 1386","Bill Text - SB-1386 Resource conservation: working and natural lands. (ca.gov)","https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201520160SB1386","2015","Legislation","SB 1386 identifies the protection and management of natural and working lands as a key strategy towards meeting this ambitious GHG emissions reduction goal. Specifically, SB 1386 directs State agencies to consider the carbon sequestration potential of natural and working lands “when revising, adopting, or establishing policies, regulations, expenditures, or grant criteria related to [their] protection and management.""","CA","Natural and Working Lands, Agriculture, and Forestry","California","hover_natural"
"EO B-52-18","KM_C454e-20180510115919 (ca.gov)","https://www.ca.gov/archive/gov39/wp-content/uploads/2018/05/5.10.18-Forest-EO.pdf","2018","Executive Order","Calls for improved management of the State’s forests.","CA","Natural and Working Lands, Agriculture, and Forestry","California","hover_natural"
"EO B-54-18","KM_C454e-20180907153011 (californiabiodiversityinitiative.org)","https://www.californiabiodiversityinitiative.org/pdf/executive-order-b-54-18.pdf","2018","Executive Order","Calls for actions to protect the State’s biodiversity from current and future challenges of climate change.","CA","Natural and Working Lands, Agriculture, and Forestry","California","hover_natural"
"Comprehensive Open Space Acquisition Strategy","2016GreenPlanActionStrategypdf.pdf","https://portal.ct.gov/-/media/DEEP/open_space/GreenPlan/2016GreenPlanActionStrategypdf.pdf","2016","Announced Plan","","CT","Natural and Working Lands, Agriculture, and Forestry","Connecticut","hover_natural"
"Urban and Community Forestry Program","Urban and Community Forestry - Delaware Department of Agriculture - State of Delaware","https://agriculture.delaware.gov/forest-service/urban-and-community/","1990","Other","Offers a range of technical and financial assistance programs to help municipalities, nonprofit groups, community associations, and homeowners to plant and care for their trees.","DE","Natural and Working Lands, Agriculture, and Forestry","Delaware","hover_natural"
"Delaware Land Protection Act","Delaware Code Online","https://delcode.delaware.gov/title7/c075/index.html#:~:text=%C2%A7%207501.&text=(1)%20The%20provision%20of%20lands,a%20proper%20responsibility%20of%20government.","1990","Legislation","Has protected 57,000 acres of land from development.","DE","Natural and Working Lands, Agriculture, and Forestry","Delaware","hover_natural"
"Governor's Action Team on Energy and Climate Change (EO 07-128)","https://www.adaptationclearinghouse.org/resources/florida-executive-order-07-128-governor-s-action-team-on-energy-and-climate-change.html","https://www.adaptationclearinghouse.org/resources/florida-executive-order-07-128-governor-s-action-team-on-energy-and-climate-change.html","2007","Executive Order","Established the Governor's Action Team on Energy and Climate Change to develop a comprehensive Energy and Climate Change Action Plan. Called on the Governor's Action Team to submit recommendations for mitigation by November 2007 and adaptation strategies to ""combat adverse impacts to society, public health, the economy and natural communities in Florida"" by October 2008.","FL","Natural and Working Lands, Agriculture, and Forestry","Florida","hover_natural"
"Florida Water and Land Conservation Initiative, Constitutional Amendment 1","https://www.adaptationclearinghouse.org/resources/florida-water-and-land-conservation-initiative.html","https://www.adaptationclearinghouse.org/resources/florida-water-and-land-conservation-initiative.html","2014","Legislation","Dedicates state funds to acquire and restore Florida conservation and recreation lands. The measure is designed to dedicate 33% of net revenue from the existing excise tax to fund the Land Acquisition Trust Fund.","FL","Natural and Working Lands, Agriculture, and Forestry","Florida","hover_natural"
"HB 1986","HB1986 CD1 (hawaii.gov)","https://www.capitol.hawaii.gov/session2018/bills/HB1986_CD1_.HTM","2018","Legislation","Creates a framework for a carbon offset program.","HI","Natural and Working Lands, Agriculture, and Forestry","Hawaii","hover_natural"
"Sustainable Hawaii Initiative","Sustainable-Hawai27i-Initiative-Brochure.pdf (hawaii.gov)","https://governor.hawaii.gov/wp-content/uploads/2017/01/Sustainable-Hawai27i-Initiative-Brochure.pdf","2017","Other","Goals: a) double food production by 2020, b) implement interagency biosecurity plan by 2026, c) protect 30% of priority watersheds, d) effectively manage 30% of marine areas, and e) achieve 100% renewable energy by 2045.","HI","Natural and Working Lands, Agriculture, and Forestry","Hawaii","hover_natural"
"Forest Carbon Project","Forestry Programs | Kahikinui/Nakula Forest Carbon Project (hawaii.gov)","https://dlnr.hawaii.gov/forestry/frs/initiatives/forestcarbon/kahikinui-nakula-forest-carbon-project/","2019","Other","Involves restoring the native forest of two areas while generating independently certified carbon offsets.","HI","Natural and Working Lands, Agriculture, and Forestry","Hawaii","hover_natural"
"2018 Forest Action Plan","https://www2.illinois.gov/dnr/conservation/Forestry/Documents/IllinoisForestActionPlan2018.pdf","https://www2.illinois.gov/dnr/conservation/Forestry/Documents/IllinoisForestActionPlan2018.pdf","2018","Announced Plan","Includes considerations of climate change on its forests (forests have sequestered 343 million tons of carbon).","IL","Natural and Working Lands, Agriculture, and Forestry","Illinois","hover_natural"
"Conservation Reserve Enhancement Program (CREP)","CREP_brochure_2010.pdf (illinois.gov)","https://www2.illinois.gov/dnr/conservation/CREP/Documents/CREP_brochure_2010.pdf","1998","Other","The CREP Program is a Federal, State and Local partnership designed to retire frequently flooded and environmentally sensitive cropland in order to achieve restoration and long-term protection of those areas. In Illinois, landowners implement conservation practices in the eligible CREP watersheds to reduce sedimentation and nutrients, improve water quality, and to create and enhance critical habitat for fish and wildlife populations.","IL","Natural and Working Lands, Agriculture, and Forestry","Illinois","hover_natural"
